William Shakespeare,Romeo and Juliet,480,2468,2023-09-30
Marcel Proust,In Search of Lost Time,4211,1111,2023-06-16,2023-07-10
Herman Melville,Moby Dick,378,1111,2023-08-24
Scott Fitzgerald,The Great Gatsby,208,2468,2023-09-29
John Tolkien,The Lord of the Rings: The Return of the King,347,20,2023-08-21
Herman Melville,Moby Dick,378,103,2023-09-21,2023-09-22
Herman Melville,Moby Dick,378,20,2023-03-07,2023-04-27
John Tolkien,The Hobbit,304,1,2023-02-25,2023-03-25
Herman Melville,Moby Dick,378,1111,2023-09-25
Herman Melville,Moby Dick,378,103,2022-12-20,2023-01-07
Vladimir Nabokov,Speak Memory,336,1,2023-08-04,2023-08-06
Marcel Proust,In Search of Lost Time,4211,1,2023-04-07,2023-04-30
Vladimir Nabokov,Speak Memory,336,2468,2023-05-20,2023-07-01
William Shakespeare,Romeo and Juliet,480,1,2023-07-07,2023-07-09
Herman Melville,Moby Dick,378,1111,2022-12-16,2022-12-21
George Martin,A Clash of Kings,768,1111,2023-03-09,2023-03-26
James Joyce,Ulysses,732,2468,2023-01-20,2023-03-15
Vladimir Nabokov,Lolita,336,1111,2023-01-12,2023-01-25
Marcel Proust,In Search of Lost Time,4211,103,2023-01-17,2023-01-31
Marcel Proust,In Search of Lost Time,4211,20,2023-02-06,2023-03-23
Vladimir Nabokov,Lolita,336,1111,2023-04-30,2023-05-21
Vladimir Nabokov,Lolita,336,2468,2023-08-05,2023-08-29
Leo Tolstoy,Anna Karenina,864,2468,2023-05-03,2023-05-14
John Tolkien,The Lord of the Rings: The Two Towers,415,1111,2023-02-22,2023-04-13
John Tolkien,The Lord of the Rings: The Return of the King,347,1,2023-01-10,2023-01-22
